ID,Date,Statut,Keyword,Titre,URL
69,jeudi 12 mars 2026,Liste d'attente,Musique,The Amazing Keystone Big Band: plays Judy Garland,https://archipel.ville-fouesnant.fr/agenda/the-amazing-keystone-big-band/
70,jeudi 19 mars 2026,Liste d'attente,Musique,Piers Faccini et Ballaké Sissoko: ,https://archipel.ville-fouesnant.fr/agenda/piers-faccini-et-ballake-sissoko/
71,jeudi 9 avril 2026,,Musique,Alexis HK et Benoît Dorémus: Inavouable,https://archipel.ville-fouesnant.fr/agenda/alexis-hk-et-benoit-doremus/
72,jeudi 30 avril 2026,Liste d'attente,Musique,"Ensemble Matheus: Double Baroque | Vivaldi, Bach et Telemann",https://archipel.ville-fouesnant.fr/agenda/ensemble-matheus-7/
73,vendredi 3 octobre 2025,,Participation,Ensachage de graines: Vie de la Grainothèque,https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines/
74,vendredi 7 novembre 2025,,Participation,Ensachage de graines: Vie de la Grainothèque,https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines-2/
75,vendredi 5 décembre 2025,,Participation,Ensachage de graines: Vie de la Grainothèque,https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines-3/
76,vendredi 9 janvier 2026,,Participation,Ensachage de graines: Vie de la Grainothèque,https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines-4/
77,vendredi 6 février 2026,,Participation,Ensachage de graines: Vie de la Grainothèque,https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines-5/
78,vendredi 6 mars 2026,,Participation,Ensachage de graines: Vie de la Grainothèque,https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines-6/
79,vendredi 3 avril 2026,,Participation,Ensachage de graines: Vie de la Grainothèque,https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines-7/
80,vendredi 10 octobre 2025,,Projection,Club ciné #1 ,https://archipel.ville-fouesnant.fr/agenda/club-cine-1/
81,vendredi 21 novembre 2025,,Projection,Le Mois du film documentaire #1 ,https://archipel.ville-fouesnant.fr/agenda/le-mois-du-film-documentaire-1/
82,dimanche 30 novembre 2025,,Projection,Le Mois du film documentaire #2 ,https://archipel.ville-fouesnant.fr/agenda/le-mois-du-film-documentaire-2-3/
83,vendredi 19 décembre 2025,,Projection,Club ciné #2 ,https://archipel.ville-fouesnant.fr/agenda/club-cine-2/
84,vendredi 16 janvier 2026,,Projection,Club ciné #3 ,https://archipel.ville-fouesnant.fr/agenda/club-cine-3/
85,vendredi 13 février 2026,,Projection,Club ciné #4 ,https://archipel.ville-fouesnant.fr/agenda/club-cine-4/
